catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HIP 84938,HD 157257,260.3893394855,16.731227139209995,-7.906,-16.282,3.5169,0.0322,AB*,M2III,37.63,0.23,6.34,
HIP 78072,* gam Ser,239.11326107375749,15.661613772328334,311.183,-1282.767,89.5647,0.1835,PM*,F6V,6.523,0.0009,3.84,
HIP 76423,* tau04 Ser,234.11742771605,15.101455549290002,-3.623,4.476,4.5628,0.2728,AB*,M5IIIa,-27.11,0.72,6.25,
HIP 87192,HD 162161,267.19946106606,19.25501353106,-6.218,11.65,6.5519,0.205,*,A1V,-25.0,3.2,6.125,
HIP 85912,HD 159332,263.34510117472,19.256677869980003,-28.567,-91.075,25.7869,0.048,PM*,F4V,-57.543,0.0013,5.648,
HIP 79102,*   8 Her,242.19429648855004,17.20563667104,-18.098,-31.408,8.1684,0.043,*,A0Vnn,-17.0,4.3,6.127,
HIP 101483,* eta Del,308.4876747698,13.02720386545,69.654,39.707,18.1436,0.453,PM*,A3IVs,-21.85,0.9,5.38,
HIP 82802,*  54 Her,253.84236503436,18.43321204513,-113.97,11.482,9.0037,0.0705,PM*,K4III-IV,10.98,0.13,5.354,
HIP 81231,HD 149632,248.85953233792,17.05734104407,-9.147,-1.648,7.4152,0.0336,SB*,A1V,-18.33,0.09,6.403,
HIP 101800,* iot Del,309.45466569066,11.37767523155,38.867,-8.609,16.6478,0.0728,SB*,A1IV,-3.9,0.9,5.418,
HIP 84631,HD 156653,259.52059475124,17.31788390814,6.307,-11.077,6.3943,0.1665,*,A1V,4.26,0.48,5.992,
HIP 101966,HD 196885,309.96614516793,11.24963895307,71.915,89.318,29.4076,0.0272,SB*,F8V,-30.8,0.0012,6.385,
HIP 94624,HD 180262,288.8337092864,15.08365272271,1.178,-10.948,5.392,0.0624,*,G8II-III,-24.42,0.14,5.571,
HIP 76810,* tau06 Ser,235.24625183159,16.024589227600003,21.853,-16.611,7.1383,0.0465,*,G8III,3.96,0.22,5.991,
HIP 103527,*  18 Del,314.60805637291,10.83928635264,-49.921,-34.509,13.3021,0.0652,PM*,G6III,4.35,0.15,5.506,NAME Musica
HIP 76424,* tau05 Ser,234.12183178107,16.11908422918,72.175,-5.217,19.2694,0.0392,PM*,F3V,-10.37,0.47,5.926,
HIP 74121,HD 134323,227.22297213623,13.235236727049998,-46.606,70.081,8.2142,0.19,SB*,G6V:,-47.94,0.07,6.142,
HIP 90086,HD 169223,275.7622081288,16.687996346329996,-11.73,-15.593,6.2792,0.0254,*,K0,12.05,0.16,6.22,
HIP 95664,HD 183144,291.89128149482,14.28248010117,6.162,-4.55,2.8745,0.0381,*,B4III,4.0,4.3,6.303,
HIP 96428,HD 184944,294.06534373478,14.39106614209,16.923,-40.14,5.0325,0.2044,*,K0II-III,-42.51,0.57,6.364,
HIP 88862,HD 166095,272.14056564192,14.284716861959998,-5.929,-0.211,6.5956,0.0335,*,A5m,-9.864,0.0149,6.323,
HIP 100256,HD 193472,305.00078606885995,13.548088490070002,-3.9,-5.007,11.5644,0.0547,*,A5m,-8.0,1.78,5.938,
HIP 97139,* psi Aql,296.14246086163,13.302777562579998,0.897,-8.203,2.9258,0.079,*,B9III-IV,-19.7,2.5,6.243,
HIP 91279,HD 171994,279.28774925748,16.19829478343,15.455,48.543,10.2339,0.0205,PM*,G8IV,-42.59,0.71,6.307,
HIP 88217,HD 164507,270.23862632824995,15.093552442689996,-52.822,-98.446,21.9563,0.02,PM*,G5IV,5.396,0.0007,6.28,
HIP 76733,HD 139862,235.04311058046,12.05293254502,-16.242,-8.558,4.5723,0.0245,*,G7.5IIIaFe-0.5,-20.49,0.13,6.215,
HIP 86809,V* V624 Her,266.07186329991,14.41006851692,-2.39,14.948,7.1126,0.0333,SB*,A3m,-31.3,0.9,6.194,
HIP 75230,*   7 Ser,230.596807485,12.567526146040002,-0.753,-4.137,6.6224,0.0535,*,A0V,4.0,0.52,6.28,
HIP 85185,HD 157740,261.13140455622,16.30100722896,12.59,-28.352,8.1743,0.0423,*,A3V,11.2,2.0,5.736,
HIP 77412,HD 141353,237.05544123832,13.78908027867,-9.618,-104.75,6.8796,0.0373,PM*,K2III,-54.41,0.13,5.97,
HIP 85930,HD 159353,263.41412271834,16.317546314559998,-0.307,-55.438,10.1079,0.0438,PM*,K0III,-23.69,0.13,5.672,
HIP 86546,HD 160765,265.29579800818,15.17837407746,-8.71,-5.248,7.3354,0.0402,*,A1V,-23.0,3.2,6.332,
HIP 76985,HD 140438,235.79391398047085,13.667658068987771,-19.446,-23.55,2.6313,0.9557,**,G5III,-5.72,0.32,6.5,
HIP 82798,V* V644 Her,253.81662687006,13.619909984199998,38.285,-36.243,13.3644,0.032,dS*,F1V,-0.59,0.19,6.34,
HIP 82241,HD 151627,252.03703325225,13.590283762940002,12.665,-18.755,4.069,0.0836,SB*,G5III,-13.8,0.36,6.379,
HIP 97454,HD 187203,297.12714241719,10.694097169209998,-1.127,-7.205,1.2802,0.0391,*,F8Ib-II,-3.494,0.004,6.457,
HIP 96931,*  46 Aql,295.5533847349,12.193261294370002,-0.422,-8.319,4.0515,0.041,*,B9III,-20.05,0.54,6.321,
HIP 96481,HD 185018,294.21856064845,11.27320064819,8.359,1.802,3.217,0.086,*,G0Ib-II,0.5,0.79,5.975,
HIP 98103,* phi Aql,299.05938296916,11.42372252234,32.745,5.63,14.7474,0.0869,SB*,A1IV,-27.2,0.9,5.278,
HIP 82526,*  49 Her,253.02021102111,14.97421430675,16.815,5.331,8.1976,0.0411,a2*,B9.5pSiCr,-22.8,2.0,6.488,
HIP 81337,V* V773 Her,249.17891052743,15.49745200658,-15.098,-32.096,6.8347,0.1782,a2*,A2VpSiSrCr,0.0,1.78,6.355,
HIP 100762,HD 194526,306.43381001681,10.05600067116,19.739,-38.537,3.8262,0.0324,*,K5:III+,-79.79,0.15,6.307,
HIP 99234,HD 191263,302.15949468536,10.72586741705,2.972,-1.603,2.2402,0.0552,**,B2.5V,-38.2,2.0,6.339,
HIP 95572,HD 182900,291.60056132640995,13.02380308396,13.57,59.465,17.5857,0.0499,PM*,F6III,-33.43,0.36,5.754,
HIP 83478,*  33 Oph,255.91375848296,13.605347587560004,-21.422,-33.29,12.2259,0.0531,*,A1V,-30.78,0.22,5.908,
HIP 86373,HD 160365,264.74106329121,13.3292531846,-22.331,47.998,10.3186,0.343,RG*,F6III,8.14,2.31,6.123,
HIP 87335,HD 162468,267.68168369197,11.94654992908,-9.062,-32.639,6.373,0.0317,*,K1III-IV,-48.71,0.15,6.193,
HIP 94982,*  28 Aql,289.9139500625199,12.37467935817,4.249,16.199,9.5836,0.0768,*,F0III,4.61,0.16,5.518,
HIP 80514,HD 148228,246.54744119326,11.40749518567,-48.203,13.715,8.3053,0.0257,PM*,G8III,-15.43,0.13,6.103,
HIP 86032,* alf Oph,263.73362272030505,12.560037391671424,108.07,-221.57,67.13,1.06,**,A5IVnn,11.7,1.0,2.07,NAME Rasalhague
HIP 97607,HD 187567,297.57282835882,7.90241487903,-1.753,-3.171,1.5275,0.0369,Be*,B2IVe,-30.1,5.0,6.478,
HIP 102819,*  14 Del,312.45108468422,7.86418684437,27.028,13.204,6.5067,0.0335,SB*,A1Vs,-30.2,0.9,6.318,
HIP 100953,HD 194937,307.03141496603,8.43744809991,40.673,16.897,8.874,0.0216,RG*,G9III,-10.42,0.15,6.229,
HIP 89677,HD 168199,274.51225884147,13.77703042338,-1.696,-7.304,3.0955,0.0818,**,B5V,-20.7,1.78,6.291,
HIP 97697,HD 187753,297.8238668858,9.62989286706,16.239,-21.085,9.8657,0.1357,**,A1m,20.9,2.0,6.233,
HIP 76425,*  16 Ser,234.12322455623,10.010147053150002,42.906,-123.903,14.3095,0.0929,SB*,K0III:CN1Ba0.7Sr2,2.94,0.13,5.253,
HIP 93488,HD 176981,285.58986039765,8.37353764646,9.101,3.721,3.2649,0.0796,SB*,K3III,-11.78,,6.271,
HIP 77257,* lam Ser,236.61089255068003,7.353068716340001,-223.952,-69.763,83.9214,0.1501,PM*,G0-V,-66.395,0.0012,4.42,
HIP 79007,*  45 Ser,241.90641287901,9.891740914290002,-20.395,-8.684,10.0488,0.203,*,A7V,-27.9,2.0,5.635,
HIP 85139,HD 157617,260.9900659646,8.85257019119,4.407,-6.323,3.4109,0.0428,*,K1III,13.06,0.09,5.763,
HIP 85450,V* V2114 Oph,261.93365339235,8.44203743374,12.392,-42.583,4.5612,0.062,LP*,M0,8.93,0.13,6.485,
HIP 83677,HD 154610,256.54018934673,9.73386600734,6.844,4.314,4.3556,0.0209,*,K5III,-6.6,0.13,6.375,
HIP 87910,HD 163772,269.36243458522995,11.04454222968,-9.413,-10.818,8.0913,0.0275,*,A1V,-16.4,2.0,6.327,
HIP 85998,* f Oph,263.65289462301,9.58669638629,2.005,-8.963,8.6746,0.0654,*,A2V,-13.9,2.0,5.81,
HIP 100541,HD 194013,305.79455580692,5.34298166294,-27.259,-39.712,12.6068,0.0933,*,G8III-IV,-11.41,0.14,5.301,
HIP 93138,HD 176095,284.59876997256,6.23992915754,-9.651,-106.906,18.0564,0.0206,PM*,F5IV,-3.98,0.29,6.207,
HIP 92872,*  62 Ser,283.86442154957,6.615301024750002,8.279,-87.939,11.7677,0.2514,SB*,G9III,27.74,0.15,5.566,
HIP 101489,HD 195909,308.49968301141,4.898662482680001,2.109,-9.638,5.6586,0.1765,*,G8III,-27.43,0.67,6.418,
HIP 96665,* sig Aql,294.79850999062,5.397772217850001,4.528,-4.507,4.1557,0.0775,SB*,B3V,-4.8,0.9,5.17,
HIP 90497,HD 170200,276.99489010085,6.19410346884,-0.606,-23.936,3.7981,0.1541,SB*,B8III,-11.8,5.0,5.699,
HIP 87558,HD 162917,268.3091068203,6.10142283828,-127.024,68.626,32.256,0.0622,PM*,F4IV-V,-26.23,0.54,5.759,
HIP 88213,HD 164432,270.22024561875,6.26829386349,0.908,-7.321,1.4505,0.0433,*,B2IV,-14.0,3.2,6.35,
HIP 82402,* k Her,252.58075336331,7.247683550850001,51.33,-9.057,17.0312,0.0604,PM*,A3m,-3.6,2.0,5.469,
HIP 90971,V* V2393 Oph,278.34709568173,8.268249599749998,-0.293,-9.653,2.9899,0.0552,a2*,B9III,-16.28,0.34,6.416,
HIP 80351,* o Her,246.04511980308,6.94821049715,2.395,16.148,9.2789,0.0599,SB*,A1III,-30.58,0.02,5.819,
HIP 86575,HD 160781,265.38468107147,6.3131579247,-1.968,-3.243,3.3591,0.0568,*,G7III,-30.14,0.14,5.952,
HIP 96630,HD 185423,294.70412457015,3.3815263754500005,0.666,-4.429,1.3379,0.0465,*,B5Ib/II,-1.0,4.3,6.358,
HIP 96351,HD 184663,293.85471618889,2.91360649116,10.777,53.626,23.8748,0.0245,PM*,F5V,10.65,0.15,6.368,
HIP 99894,HD 192699,304.02501573383,4.58079443767,-40.884,-51.962,13.7264,0.029,PM*,G8IV,13.2,0.15,6.446,
HIP 100969,HD 194953,307.06992661669,2.93723069607,50.801,-5.249,7.8706,0.1437,PM*,G8III/IV,-26.62,0.48,6.195,
HIP 78685,*  43 Ser,240.94037937969995,4.98683212673,-37.963,16.435,8.4728,0.032,*,G9III,-41.693401,0.011359,6.068,
HIP 79581,HD 146084,243.55669455920005,5.90184722317,43.547,-20.764,9.1225,0.0251,*,K2III,-21.63,0.13,6.289,
HIP 92254,HD 173954,282.01110517199,4.241421309259999,-5.182,14.114,4.3815,0.042,*,K4III,-1.98,0.14,6.187,
HIP 95732,HD 183227,292.08665943716994,2.9300329416800004,2.658,-13.95,3.0577,0.0509,*,B7III,-14.6,1.6,5.839,
HIP 95898,HD 183589,292.5438962864,2.9040732426,1.669,-0.872,1.688,0.1207,*,K5III,-12.21,0.37,6.042,
HIP 90858,HD 170973,278.02869381884,3.659611598170001,7.535,2.023,3.9768,0.0497,a2*,B9IIIpSi,-12.24,0.53,6.407,
HIP 87150,HD 161941,267.08433916554,3.804213281850001,12.996,6.367,3.6491,0.0282,*,B9/A0III,-47.39,0.33,6.225,
HIP 73620,* 110 Vir,225.72515651496167,2.0913043610361117,-55.569,13.628,16.7474,0.1294,PM*,K0+IIIbFe-0.5,-15.92,0.25,4.4,
HIP 88149,*  66 Oph,270.06581543772376,4.368645090768055,4.735,-13.362,4.9043,0.3701,Be*,B2Ve,-12.8,3.1,4.6,
HIP 77622,* eps Ser,237.7040219606796,4.477730970842778,127.257,62.017,45.3293,0.2499,PM*,kA2hA5mA7V,-9.9,0.14,3.693,
HIP 79488,*   9 Her,243.31428756435,5.02109124293,35.792,-3.586,7.0089,0.0775,*,K5III,-0.918722,0.004544,5.453,
HIP 81641,*  37 Her,250.16119663006,4.21978977407,0.395,-10.456,9.8676,0.07,**,B9V,-31.34,0.41,5.761,
HIP 103414,HD 199442,314.29407281673,0.4637798901800001,12.078,-62.766,10.085,0.0398,PM*,K2III,-25.98,0.13,6.047,
HIP 78442,*   3 Her,240.21305837835,4.42735789596,-42.213,72.995,13.6017,0.0583,PM*,K0III/IV,-7.28,0.14,5.804,
HIP 97980,*  58 Aql,298.6866452195699,0.27362510094,39.657,-13.766,6.255,0.0699,*,B9IV,-52.21,1.18,5.631,
HIP 101936,*   1 Aqr,309.85371960773,0.4864319445600001,96.805,-10.14,12.3852,0.1134,SB*,K0III,-42.7892,0.007047,5.153,
HIP 101746,HD 196426,309.32658925507,0.09695938289,4.637,-12.555,4.85,0.0806,*,B8IIIpec,-7.8,0.1,6.211,
HIP 100664,HD 194244,306.15624235928,1.06840484277,7.834,4.935,4.0349,0.0428,Be*,A0IIIe,-15.6,0.47,6.136,
HIP 95585,* nu. Aql,291.629538575,0.33857080495,-0.562,-2.294,0.8752,0.0869,*,F2Ib,-0.054,0.667,4.72,
HIP 95793,* c Aql,292.25411225117,1.9504491180899997,-2.892,-32.443,16.5652,0.043,dS*,A0IVp,17.29,2.61,5.783,
HIP 95812,HD 183387,292.32509415674,0.24607440161,12.948,-10.626,5.9808,0.0334,*,K2III,-59.39,0.16,6.245,
HIP 97804,* eta Aql,298.1182038432421,1.0056588834763889,8.89,-8.322,3.6715,0.1942,cC*,F6Iab+B9.8V,10.82,0.55,3.8,
HIP 92968,HD 175679,284.10668269877,2.47119042037,11.91,-6.165,5.9475,0.0423,*,G8III,16.64,0.25,6.132,
HIP 87491,HD 162774,268.14766357024,1.30501108104,-39.681,-13.874,9.0058,0.052,*,K4III,-65.92,0.2,5.917,
HIP 93580,HD 177178,285.8843593324,1.81873438339,18.449,-65.689,17.7798,0.0853,PM*,A4IV/V,-22.27,0.42,5.815,
HIP 93051,*  64 Ser,284.31912516575,2.53534605009,-5.328,-12.207,3.2013,0.0776,Be*,B8/9II,-9.7,3.0,5.551,
HIP 88290,*  68 Oph,270.4383228901304,1.3050850774647222,20.608,-18.235,12.0799,0.2255,**,A0.5Van,9.21,1.73,4.429,
HIP 88522,V* V986 Oph,271.15565654102,1.91899323623,1.131,-5.592,0.9934,0.0513,bC*,O9.7IIn,62.469398,0.62449,6.147,
HIP 87812,V* V2052 Oph,269.0766671537,0.67035369923,-4.997,-0.369,3.5446,0.0453,bC*,B3III,-17.6,0.8,5.82,
HIP 85749,HD 158837,262.83889967737,2.724514451840001,-19.67,17.333,8.3288,0.2426,SB*,G8III+A/F,-48.141,0.651,5.58,
HIP 86391,HD 160315,264.7854358017199,2.02804994563,44.873,-22.785,9.6271,0.0264,PM*,K0III,-2.02,0.23,6.253,
HIP 82162,*  19 Oph,251.79063767046,2.06452904701,-11.401,-14.636,4.7557,0.0395,*,A1IV,-6.2,2.0,6.077,
HIP 81691,HD 150493,250.31972846991,1.2454357359400003,-10.926,-13.679,4.3834,0.0283,*,G8III,-41.05,0.15,6.395,
HIP 85537,HD 158352,262.20689494262,0.33062490012,-64.651,19.221,15.6711,0.0793,PM*,A8Vp,-36.13,2.49,5.412,
HIP 81734,*  14 Oph,250.42700806058,1.18123089891,-100.919,53.306,18.0784,0.0472,PM*,F2V,-44.5,0.54,5.724,
HIP 84479,HD 156208,259.05941844406993,2.18620285742,11.307,-17.156,4.6496,0.039,EB?,A1IV,4.0,3.2,6.18,
HIP 77578,* ome Ser,237.57311176096,2.19650889006,30.264,-47.593,13.1026,0.0695,PM*,K0IV,-3.65,0.12,5.217,
HIP 75119,*   6 Ser,230.25831779848,0.7153361997499997,-41.953,-103.817,13.0806,0.1072,PM*,K1III,9.55,0.21,5.393,
HIP 92963,HD 175640,284.09441619105,-1.7998622045000003,-2.811,-19.318,6.3201,0.0448,*,B9IIIpHgMnEu,-17.97,0.66,6.196,
HIP 80693,HD 148513,247.14158665546,0.6650003175399999,4.525,-68.002,7.4559,0.0906,PM*,K3V,7.72,0.1,5.39,
HIP 95222,HD 181907,290.58978367043994,-0.2523634426399999,52.897,-19.012,9.4234,0.1566,RG*,K1III,-10.9,2.0,5.811,
HIP 96807,*  45 Aql,295.18048761791,-0.62122288218,17.674,6.335,9.673,0.1604,**,A2V,-46.0,7.4,5.637,
HIP 100232,HD 193329,304.9302698382,-1.07851278334,41.669,32.561,8.0248,0.0363,PM*,K0III,-45.31,0.16,6.042,
HIP 95073,* d Aql,290.1486932087099,-0.89215958904,5.652,3.825,6.6587,0.0799,*,B9.5III,-27.35,0.37,5.451,
HIP 94149,HD 178744,287.46498296726,-0.42811262945,2.706,-6.332,3.8877,0.0823,*,B7IV,-11.2,4.3,6.321,
HIP 99171,*  64 Aql,302.00759307016,-0.67818462373,115.435,-67.712,21.5357,0.0402,RG*,K1IV,-2.97629,0.008369,5.968,
HIP 88671,HD 165462,271.53094982954,-0.44612759973,-21.31,-12.151,4.4555,0.026,*,G9IIICH-3,-10.0,0.15,6.34,
HIP 96468,* iot Aql,294.18032376199994,-1.2865996151100003,-1.426,-21.644,5.6673,0.1947,*,B5III,-21.34,3.63,4.36,
HIP 81300,*  12 Oph,249.08937370707,-2.3245869511758324,456.058,-309.224,101.0719,0.0501,BY*,K1V,-12.812,0.0002,5.77,
HIP 91322,* e Ser,279.3998442538,-0.30947503996,13.993,-20.922,6.0739,0.0591,SB*,A0V,11.415,0.031,5.768,
HIP 90642,* c Ser,277.42074781307,-1.98530779712,29.108,-33.377,13.4909,0.1281,*,K0III,28.3724,0.006384,5.369,
HIP 87428,HD 162596,267.99768678687,-1.23680941905,-7.341,-0.672,9.0844,0.3011,SB*,K0III,-42.95,0.9,6.332,
HIP 90844,*  61 Ser,277.98747296793,-1.0029752111100003,8.583,-3.825,4.9498,0.0712,*,A5IV/V,-27.3,2.0,5.936,
HIP 83635,HD 154445,256.3844116362,-0.89206603148,3.089,-0.533,4.0229,0.067,*,B1V,16.0,2.0,5.61,
HIP 83738,HD 154660,256.7206514019699,-1.6561864651700002,35.322,-22.918,12.4619,0.1241,*,A5V,6.6,2.4,6.351,
HIP 101101,*  69 Aql,307.41250016292,-2.88552815665,70.287,-22.559,16.8797,0.1424,PM*,K1/2III,-22.51,0.16,4.9,
HIP 101692,*  70 Aql,309.18180497848,-2.54995464288,10.862,-15.416,4.0825,0.1052,*,K4+IIIBa1,-9.27,0.19,4.88,
HIP 81687,HD 150451,250.29809668598995,-1.00031329934,19.121,-11.519,19.1202,0.0681,**,A5/7III,-11.9,1.2,6.259,
HIP 102561,HD 197954,311.76483964766,-2.4869086350600003,-20.406,-20.538,3.4387,0.0425,*,K4III,28.47,0.13,6.26,
HIP 99024,HD 190664,301.55089671563,-4.07819662468,51.803,-44.908,8.1117,0.0675,PM*,K0III,2.34989,0.009032,6.469,
HIP 101921,HD 196712,309.80521160835,-2.4129748013500003,8.505,3.21,2.8536,0.054,Be*,B7Ve,-10.0,4.7,6.22,
HIP 73536,*   2 Ser,225.45383755329,-0.14029798318,8.596,-15.536,3.2519,0.119,**,M0.5IIb,-36.68,0.35,5.71,
HIP 74901,HD 136028,229.60886192878,-0.46123417649,-10.422,1.046,4.4729,0.0485,*,K2/3III,-13.35,0.13,5.89,
HIP 75342,*   8 Ser,230.93212418152,-1.02238612199,75.056,-29.074,18.605,0.0296,PM*,A5II/III,1.76,0.34,6.105,
HIP 76133,*  11 Ser,233.24140646056,-1.1864015763599998,-17.679,-41.933,11.96,0.0596,*,K0III,-15.5637,0.012246,5.496,
HIP 92175,* bet Sct,281.79364256535,-4.74787304458,-7.972,-16.398,4.8549,0.3403,SB*,G4IIa,-21.3,0.03,4.22,
HIP 95453,V* V1691 Aql,291.25637246648,-4.88456109911,34.954,5.625,8.0015,0.4169,dS*,F0V,-42.4,0.4,6.499,
HIP 88101,HD 164064,269.90317618788,-4.821126345579999,-3.936,-88.444,5.7153,0.0784,PM*,K5III,-31.7,2.0,5.832,
HIP 93717,* h Aql,286.24030228311995,-4.031422543679999,22.975,-26.581,10.3724,0.176,*,K0/1III,-23.1325,0.005205,5.394,
HIP 89512,HD 167564,273.99138144113,-3.61796635262,-2.242,-2.475,7.0895,0.0346,*,A3IV/V,-22.48,0.4,6.349,
HIP 87847,HD 163532,269.19893376232,-4.081821608520001,-6.855,-8.127,7.6161,0.0718,*,K2IIICNIb/II,-34.2896,0.007001,5.439,
HIP 88175,* zet Ser,270.12087522471666,-3.690271546823056,154.66,-45.909,43.4823,0.1324,PM*,F2V,-50.7,0.2,4.616,
HIP 97871,V* V1291 Aql,298.32806548935,-3.1144620991600003,21.591,14.067,11.8667,0.0616,a2*,F0VpSrCrEu,-21.85,0.0005,5.619,
HIP 79781,HD 146514,244.23042315299,-3.95334811535,38.987,6.853,21.3857,0.03,*,F0IV,-8.4,2.0,6.165,
HIP 79463,HD 145788,243.23577629240003,-4.220786625009999,-28.438,-18.652,6.0589,0.0909,*,A0V,-16.4,2.0,6.255,
HIP 79195,HD 145206,242.46043259315,-3.46674411471,-12.461,-3.029,5.8268,0.4162,SB*,K4III,-11.6462,0.017813,5.378,
HIP 83262,*  30 Oph,255.26500740692,-4.22264384663,-40.37,-78.455,8.9274,0.1189,PM*,K4III,-8.26,0.3,4.812,
HIP 95066,* f Aql,290.13710917284993,-5.415768030580001,112.516,46.738,22.688,0.5046,SB*,G8/K0IV,-18.0,0.28,4.99,
HIP 95281,HD 182038,290.76853532779995,-7.400617093880001,13.899,-22.119,4.9559,0.0357,*,K3III,11.13,0.14,6.308,
HIP 93026,* eta Sct,284.26529246809,-5.84631509312,61.567,-41.232,15.3925,0.1793,PM*,K1-III,-92.22,0.16,4.818,
HIP 83906,HD 154962,257.22716581103,-3.88299602741,-54.24,-160.155,27.9785,0.0245,PM*,G8IV(+A),13.725,0.0002,6.356,
HIP 96483,* kap Aql,294.22270369625915,-7.027479115692221,0.974,-3.241,1.9758,0.1533,*,B0.5IIIn,-19.4,4.2,4.96,
HIP 91532,HD 172348,280.00161694314,-7.79079634449,-20.735,-36.437,5.5207,0.0832,*,K3III,-23.4,2.0,5.808,
HIP 103005,*   5 Aqr,313.03622430074995,-5.507058186369999,1.271,-5.828,4.1831,0.0861,*,B9III,0.1,0.25,5.554,
HIP 91751,HD 172831,280.65050079768,-7.073654086340001,-8.122,-8.876,12.9093,0.4404,SB*,K1III,29.1,2.48,6.125,
HIP 96356,HD 184573,293.87419002092,-7.46028280856,23.337,-40.115,7.6293,0.0285,*,K0III,-10.5773,0.021164,6.325,
HIP 88670,HD 165402,271.53082469743583,-8.323960280553887,-1.975,-13.794,3.7816,0.933,**,B2II/III,-23.0,4.3,5.859,
HIP 91845,* eps Sct,280.88021209176,-8.2752126752,21.781,4.591,5.71,0.1842,*,G8IIb,-10.21,1.42,4.889,
HIP 87495,V* Y Oph,268.16125793753,-6.1435761310600006,-3.043,-4.723,1.3126,0.0362,cC*,G3Ia,-7.2,0.0,6.21,
HIP 92202,V* R Sct,281.87062457251,-5.7051507255,-44.4,-32.212,2.5351,0.0871,RV*,K4/5pec,34.38,0.1,5.2,
HIP 77287,HD 140986,236.68926767853,-6.120356990670001,-11.687,0.062,4.5624,0.0337,*,K0III,-51.86,0.13,6.245,
HIP 91880,HD 173093,280.96347367919,-6.818121553509999,30.691,-44.678,13.781,0.0718,**,F7V,-58.3,0.8,6.299,
HIP 90967,HD 171149,278.34461811861,-5.911719227609999,-11.692,-30.459,8.947,0.0379,*,B9V,-15.66,0.58,6.354,
HIP 75127,HD 136479,230.2817053743,-5.82485241704,-53.297,-10.589,10.7093,0.0985,PM*,K1III,-32.5,0.18,5.537,
HIP 90692,HD 170547,277.55955671785,-5.724178146489999,-0.697,-15.343,7.2211,0.2227,SB*,G8III,33.29,7.09,6.263,
HIP 90238,HD 169370,276.17553183131,-7.0759329493,133.718,-24.819,9.2409,0.0419,RG*,K0/1III,-26.1,0.14,6.296,
HIP 80620,V* V2105 Oph,246.93107083824,-7.59792912537,0.701,-153.669,5.8407,0.1709,LP*,M3-III,100.6,0.8,5.23,
HIP 85922,HD 159170,263.37435437019,-5.74480321566,-41.683,-95.508,21.3634,0.0575,PM*,A5V,-24.24,0.48,5.607,
HIP 91105,HD 171391,278.7599692866,-10.97720636405,48.903,-5.322,12.4371,0.0825,PM*,G8II/III,7.38,0.07,5.119,
HIP 80840,HD 148743,247.62507648484,-7.514453179310001,3.688,1.806,0.2808,0.0252,pA*,A7Ib,2.3,2.0,6.461,
HIP 92674,HD 174866,283.25753960998,-9.57552130308,23.472,15.158,10.8523,0.0358,**,A4V,-44.92,0.54,6.321,
HIP 92136,HD 173638,281.68051754733,-10.12504481494,-0.052,-3.244,0.8564,0.0501,*,F0IV,10.3,2.0,5.717,
HIP 78436,*  50 Lib,240.19846801063,-8.411358271080001,-15.544,-13.847,7.0311,0.0735,HB*,A0V,-20.73,0.53,5.526,
HIP 87540,HD 162757,268.26475152602995,-10.899563971009997,46.537,-30.675,9.6406,0.0966,PM*,K1V,-35.6,0.15,6.176,
HIP 86313,HD 160018,264.53960287087,-10.926268259860002,-13.519,-8.969,7.8358,0.0589,*,K1III,-32.5,2.0,5.727,
HIP 83962,HD 155078,257.44979209957,-10.523299715909998,54.514,-108.374,23.9838,0.0692,PM*,F5IV/V,-1.1,0.6,5.43,
HIP 79387,*  16 Sco,243.03048316754,-8.547579594,44.53,-0.487,12.7258,0.0888,*,A2IV,-1.08,0.5,5.424,
HIP 84883,HD 156971,260.2192922871399,-10.69641046218,51.849,-22.828,19.192,0.0294,PM*,A9/F0IV,10.64,0.15,6.454,
HIP 90083,HD 169009,275.758789331,-10.21895524585,9.987,-23.319,8.3233,0.4579,*,B9III,-16.7,1.47,6.313,
HIP 100524,HD 193896,305.75329087324,-9.65471052279,24.655,-16.439,5.3831,0.0263,*,G5IIIa,-15.23,0.18,6.283,
HIP 99221,V* AV Cap,302.13029736824,-10.06259530926,5.456,-34.224,6.4699,0.0282,a2*,B9IV,-8.31,0.56,6.174,
HIP 96365,HD 184574,293.88941549756,-12.25311415542,-7.064,-19.472,8.657,0.0227,*,K0III,5.76,0.35,6.271,
HIP 89623,HD 167833,274.35070469882,-9.75861041934,-1.214,-50.899,6.7507,0.2231,**,A8V,-13.7,1.7,6.3,
HIP 90096,HD 169033,275.80067567648,-12.014754738210002,-8.931,-19.306,5.5088,0.0498,Be*,B8IVe,-11.0,4.3,5.699,
HIP 79375,* psi Sco,242.99997135053,-10.06414170962,-1.483,-31.351,22.6379,0.491,*,A1V,-8.65,0.42,4.928,
HIP 82979,HD 153021,254.35833751671,-10.963372028060002,0.892,-88.487,12.0943,0.029,PM*,K0III,-100.7,0.16,6.159,
HIP 79540,* chi Sco,243.46210941047,-11.83774786154,-4.991,-9.931,7.2874,0.0993,*,K3III,-23.1714,0.006133,5.239,
HIP 82369,*  20 Oph,252.45840729817,-10.783065159579998,104.147,-84.201,21.4451,0.6347,PM*,F7V,1.56,0.27,4.632,
