catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HIP 95585,* nu. Aql,291.629538575,0.33857080495,-0.562,-2.294,0.8752,0.0869,*,F2Ib,-0.054,0.667,4.72,
HIP 97804,* eta Aql,298.1182038432421,1.0056588834763889,8.89,-8.322,3.6715,0.1942,cC*,F6Iab+B9.8V,10.82,0.55,3.8,
HIP 88290,*  68 Oph,270.4383228901304,1.3050850774647222,20.608,-18.235,12.0799,0.2255,**,A0.5Van,9.21,1.73,4.429,
HIP 96468,* iot Aql,294.18032376199994,-1.2865996151100003,-1.426,-21.644,5.6673,0.1947,*,B5III,-21.34,3.63,4.36,
HIP 101101,*  69 Aql,307.41250016292,-2.88552815665,70.287,-22.559,16.8797,0.1424,PM*,K1/2III,-22.51,0.16,4.9,
HIP 101692,*  70 Aql,309.18180497848,-2.54995464288,10.862,-15.416,4.0825,0.1052,*,K4+IIIBa1,-9.27,0.19,4.88,
HIP 92175,* bet Sct,281.79364256535,-4.74787304458,-7.972,-16.398,4.8549,0.3403,SB*,G4IIa,-21.3,0.03,4.22,
HIP 88175,* zet Ser,270.12087522471666,-3.690271546823056,154.66,-45.909,43.4823,0.1324,PM*,F2V,-50.7,0.2,4.616,
HIP 83262,*  30 Oph,255.26500740692,-4.22264384663,-40.37,-78.455,8.9274,0.1189,PM*,K4III,-8.26,0.3,4.812,
HIP 95066,* f Aql,290.13710917284993,-5.415768030580001,112.516,46.738,22.688,0.5046,SB*,G8/K0IV,-18.0,0.28,4.99,
HIP 93026,* eta Sct,284.26529246809,-5.84631509312,61.567,-41.232,15.3925,0.1793,PM*,K1-III,-92.22,0.16,4.818,
HIP 96483,* kap Aql,294.22270369625915,-7.027479115692221,0.974,-3.241,1.9758,0.1533,*,B0.5IIIn,-19.4,4.2,4.96,
HIP 91845,* eps Sct,280.88021209176,-8.2752126752,21.781,4.591,5.71,0.1842,*,G8IIb,-10.21,1.42,4.889,
